,ICD10codes
0,
1,R54
2,U071
3,U072
4,K709
5,I739
6,J189
7,I639
8,C139
9,I120
10,K37
11,J180
12,C61
13,I350
14,I214
15,C920
16,K566
17,K112
18,F03
19,F019
20,G20
21,N735
22,D432
23,C349
24,J449
25,C931
26,I259
27,M809
28,C220
29,M009
30,I489
31,I619
32,G309
33,K922
34,I64
35,C910
36,I219
37,K578
38,I620
39,C679
40,I132
41,N185
42,I500
43,E101
44,J988
45,I211
46,E149
47,N390
48,C719
49,C911
50,R688
51,K802
52,C329
53,A047
54,E109
55,I255
56,E110
57,C20
58,C541
59,I251
60,J60
61,J47
62,D696
63,C189
64,I679
65,C723
66,I694
67,N189
68,J22
69,C900
70,C260
71,E102
72,M726
73,N184
74,L039
75,I719
76,I802
77,E141
78,J440
79,C140
80,W19
81,E142
82,C509
83,E119
84,C259
85,D375
86,K564
87,J448
88,C449
89,K830
90,K265
91,C829
92,C64
93,X39
94,K279
95,A084
96,C800
97,K819
98,I359
99,I776
100,I779
101,D469
102,G301
103,K810
104,J841
105,M069
106,E116
107,C159
108,I330
109,K550
110,K562
111,C249
112,C221
113,K559
114,C187
115,I693
116,C851
117,C56
118,C837
119,I10
120,B99
121,G825
122,X590
123,J441
124,I713
125,C19
126,C570
127,I080
128,E117
129,I269
130,C716
131,L031
132,E872
133,C809
134,N139
135,G35
136,M869
137,I38
138,Q059
139,I213
140,I81
141,C762
142,I509
143,G049
144,K746
145,J459
146,M858
147,G08
148,I110
149,C539
150,G319
151,Y833
152,D090
153,I059
154,K460
155,J690
156,C182
157,I340
158,E115
159,I517
160,C859
161,G310
162,G809
163,K704
164,K224
165,E889
166,G318
167,G419
168,D619
169,J439
170,G009
171,J129
172,C844
173,Q909
174,K254
175,K255
176,C23
177,A199
178,E147
179,K631
180,I249
181,G808
182,D372
183,C169
184,K519
185,I518
186,X599
187,C180
188,J849
189,K579
190,E145
191,I501
192,Q613
193,K403
194,K567
195,M259
196,J984
197,K859
198,K758
199,I629
200,I600
201,F329
202,K803
203,K266
204,C179
205,I822
206,K852
207,I248
208,I351
209,F102
210,J42
211,C930
212,C819
213,E854
214,G473
215,E112
216,M329
217,D474
218,J100
219,C439
220,K449
221,E46
222,C07
223,C840
224,L97
225,I421
226,I613
227,K701
228,M313
229,E039
230,I633
231,C482
232,A415
233,D649
234,Q043
235,B029
236,L984
237,C162
238,Y834
239,I671
240,K743
241,G14
242,F059
243,K703
244,B432
245,I272
246,I071
247,C55
248,C831
249,N258
250,C109
251,C833
252,K769
253,K822
254,M348
255,K861
256,D891
257,Q612
258,I609
259,C519
260,I469
261,B338
262,K264
263,N19
264,A490
265,I515
266,D509
267,K220
268,K661
269,E111
270,M464
271,I710
272,K572
273,K430
274,J80
275,W79
276,N200
277,A498
278,I420
279,D869
280,I139
281,A86
282,G122
283,I516
284,B588
285,D868
286,C210
287,C677
288,Q219
289,C341
290,K729
291,C609
292,G409
293,D329
294,A064
295,G232
296,K760
297,A419
298,D370
299,L120
300,E785
